Country.Name,age_dependency,co2_kg_ppp_gdp,co2_kt,f_labor_force,f_lifeexp,f_net_enrollment,f_out_school,f_pop,fertility_rate,gdp_currentUS,gdp_energy_perunit,gdp_ppp_current,gini_index,m_lifeexp,m_pop,pop_density,pop_growth,pop_largest_city,pop_largest_city_perc,pop_lifeexp,pop_perc,pop_w_electric,rural_pop,urban_pop,Region,Income.Group
Australia,49.41451031709,0.61212136175825,324844.862,55.0499992370605,82.4,NA,NA,50.105810590395,1.739,378376086723.194,5.01869233002176,530687021062.163,33.5,77,49.894189409605,2.52697759785481,1.34835834227145,3760877,23.035650442754,79.6341463414634,19413000,100,15.9,84.1,East Asia & Pacific,High income
Austria,47.3255578364559,0.275709528190589,65888.656,49.3688011169434,81.7,90.85464,1.28132,51.439775592124,1.33,197337879194.631,7.90622793276212,238978523638.302,NA,75.6,48.560224407876,97.3879026398644,0.382799394483217,1552880,32.2169728725819,78.5756097560976,8042293,100,40.066,59.934,Europe & Central Asia,High income
Azerbaijan,56.834739223027,0.868817409113372,28771.282,NA,70.06,84.79876,12.03296,51.0492912601047,1.8,5707720390.8515,2.89353811927983,33115452911.2867,36.5,64.032,48.9507087398953,98.1937874247073,0.774765939386613,1818065,43.4494213523089,67.054,8111200,98.6345138549805,48.413,51.587,Europe & Central Asia,Upper middle income
"Bahamas, The",52.4608416587317,0.191360057842583,1569.476,71.0999984741211,75.101,NA,NA,51.3617828417345,1.993,8317830000,NA,8201690664.67927,NA,68.752,48.6382171582655,30.2315684315684,1.52066712510074,NA,NA,71.954,302618,96.065547,17.951,82.049,Latin America & Caribbean,High income
Bahrain,45.8902390563236,0.559439829408057,13927.266,35.5099983215332,75.601,97.59441,2.26533,42.2709483191169,2.731,8976196808.51064,3.04045276161749,24895020461.3362,NA,73.877,57.7290516808831,982.457746478873,4.83651206508964,145632,23.6256801435399,74.635,697545,100,11.631,88.369,Middle East & North Africa,High income
Bangladesh,67.8417084007581,0.175808192084348,32456.617,NA,66.574,NA,NA,48.63699738922,3.07,53991289844.3291,9.24158080145131,184613791969.536,NA,65.408,51.36300261078,999.375447491742,1.88628714466314,10695828,34.1216379389714,65.956,130088702,35.1376876831055,75.904,24.096,South Asia,Lower middle income
Barbados,50.6265511770981,0.353966902596401,1221.111,63.7900009155273,79.093,94.48545,2.93557,51.9622450402578,1.785,3116650000,NA,3449788641.37569,NA,75.526,48.0377549597422,633.720930232558,0.362122763667281,NA,NA,77.362,272500,100,66.371,33.629,Latin America & Caribbean,High income
Belarus,46.4177054184686,0.819593588426539,52760.796,NA,74.5,NA,NA,53.0862825984347,1.286,12354820143.8849,2.60856617775065,64374339605.6703,30.6,62.8,46.9137174015653,48.9476878327746,-0.512966688341309,1714949,24.5151817815477,68.5073170731707,9928549,100,29.542,70.458,Europe & Central Asia,Upper middle income
Belgium,52.549682304639,0.386585603151396,114527.744,41.8667984008789,81.2,NA,NA,51.0180902732487,1.67,236541297539.15,5.11164860072907,296254550263.601,NA,74.9,48.9819097267513,339.71499339498,0.343951157623668,1796594,17.9711408481615,77.9731707317073,10286570,100,2.81399999999999,97.186,Europe & Central Asia,High income
Belize,79.3591077857786,0.309994170243641,447.374,NA,71.965,93.34303,6.51149,49.6585224332335,3.497,871860600,NA,1443169075.23901,NA,66.401,50.3414775667665,11.182069267865,3.08477457052164,NA,NA,69.04,255063,80.3309478759766,54.619,45.381,Latin America & Caribbean,Upper middle income
Benin,93.4299927566932,0.185210556093767,1815.165,68.6999969482422,57.241,NA,NA,50.669998903448,5.889,2680213931.46472,4.64801256240065,9800548296.39964,NA,54.016,49.330001096552,62.7592497339482,3.0237802136321,656253,23.9932479195893,55.668,7076733,21.9,61.35,38.65,Sub-Saharan Africa,Low income
Bermuda,NA,0.191516247050612,528.048,NA,80.6,NA,NA,NA,1.75,3680483000,NA,2757196886.07125,NA,75.3,NA,1157.48146103962,1.08518105218895,NA,NA,77.8853658536585,62504,100,0,100,North America,High income
Bhutan,75.3778392418229,0.215643393186022,385.035,NA,62.056,57.79673,42.20327,48.6453085681438,3.342,476360697.181606,NA,1785517257.50232,NA,61.542,51.3546914318562,15.1668341708543,2.11264439806097,NA,NA,61.808,603640,40.1065483093262,73.52,26.48,South Asia,Lower middle income
Bolivia,74.886123308869,0.283342297199805,8621.117,60.2000007629395,65.054,NA,NA,49.6905332762099,3.969,8141537937.61068,7.97234047027985,30426509155.8873,57.4,61.142,50.3094667237901,7.92046062955783,1.90576711770633,1452891,27.1771554101842,63.054,8580235,69.258539,37.694,62.306,Latin America & Caribbean,Lower middle income
Bosnia and Herzegovina,46.5849389774567,0.748900922979637,13362.548,NA,77.128,NA,NA,50.8919418220781,1.432,5748993411.42021,4.24817690309809,17842878263.3018,30,71.967,49.1080581779218,73.34984375,0.115523663224709,341423,21.2919753867875,74.637,3755512,99.4,57.302,42.698,Europe & Central Asia,Upper middle income
Botswana,70.5079568710101,0.268143949914035,3850.35,46.1699981689453,52.806,89.33542,10.66458,51.549615029552,3.248,5489608299.66445,7.90551700632776,14359264869.6135,NA,47.97,48.450384970448,2.95498385474565,1.88938029248921,NA,NA,50.281,1674678,24.8,45.938,54.062,Sub-Saharan Africa,Upper middle income
Brazil,53.4421556865362,0.205331550737848,337433.673,53.4039993286133,74.36,NA,NA,50.4861313190326,2.232,559372276081.966,8.61698311907855,1643360076848.64,58.4,66.75,49.5138686809674,21.2004170784409,1.36695707635304,17260029,11.9439377967408,70.462,177196054,96.016528,18.447,81.553,Latin America & Caribbean,Upper middle income
British Virgin Islands,NA,NA,106.343,NA,NA,94.24847,2.91411,NA,NA,NA,NA,NA,NA,NA,NA,137.833333333333,1.77626297004064,NA,NA,NA,20675,NA,57.952,42.048,Latin America & Caribbean,High income
Brunei Darussalam,48.3840843435534,0.197275112479044,4506.743,56.4300003051758,74.332,NA,NA,49.4128580125104,2.284,5601090584.36122,10.3476371148807,22844964797.4664,NA,71.993,50.5871419874896,64.5225806451613,2.04077498519585,NA,NA,73.076,340034,100,28.348,71.652,East Asia & Pacific,High income
Bulgaria,47.1221229587606,0.839499691083644,46453.556,46.4444999694824,75.2,96.29859,3.20766,51.2924584210725,1.21,14075616789.4905,2.85358994386618,55334810117.7224,NA,68.5,48.7075415789275,72.3957516044473,-1.99063220438276,1120411,20.2254746414138,71.7682926829268,8009142,100,30.834,69.166,Europe & Central Asia,Upper middle income
Burkina Faso,98.0738004222625,0.0921606623341334,997.424,NA,52.023,31.5537,68.4463,50.8438590896681,6.531,2812845513.57125,NA,10822665275.3838,NA,49.613,49.1561409103319,43.6571162280702,2.85886860286955,990628,44.733184437663,50.893,11944587,9.8379487991333,81.46,18.54,Sub-Saharan Africa,Low income
Burundi,107.935659723948,0.0540269205052482,205.352,NA,51.414,45.46107,54.53893,50.8562501896393,6.862,876794723.068586,NA,3800919950.26909,NA,48.407,49.1437498103607,254.110007788162,2.27333521750465,341269,61.8099854018829,49.93,6525545,3.42589259147644,91.539,8.461,Sub-Saharan Africa,Low income
Cabo Verde,88.9728365290783,0.169178795309203,234.688,NA,72.153,97.414,2.36262,51.8373838940007,3.399,563024383.296626,NA,1387218767.99671,52.5,65.648,48.1626161059993,108.116377171216,1.74122378498413,NA,NA,69.099,435709,NA,45.709,54.291,Sub-Saharan Africa,Lower middle income
Cambodia,76.9680612042562,0.153105616811538,2251.538,81.8755035400391,61.525,NA,NA,51.4150155927925,3.654,3984000517.02345,4.2872078486273,14705783150.8003,NA,57.078,48.5849844072075,70.2776342624065,2.03722363015962,1180476,50.8785729401517,59.335,12405408,15.4986295700073,81.297,18.703,East Asia & Pacific,Lower middle income
Cameroon,92.529978352493,0.101359267040054,3421.311,65.5,52.676,NA,NA,50.2165873245564,5.524,10371327756.4548,5.28720743966631,33754298939.9085,42.1,49.795,49.7834126754436,33.697002390472,2.63964003469426,1560356,21.2309509295946,51.222,15928910,46.2,53.861,46.139,Sub-Saharan Africa,Lower middle income
Canada,46.0067216678359,0.565252490146425,527926.989,59.7538986206055,81.9,NA,NA,50.4557275643658,1.5104,736379777892.562,3.73713394888939,933966675428.964,NA,76.9,49.5442724356342,3.41132324042092,1.08635096562717,4693504,18.9576917673805,79.3390243902439,31020902,100,20.19,79.81,North America,High income
Cayman Islands,NA,0.173669391649252,469.376,NA,NA,NA,NA,NA,NA,NA,NA,2702698475.20377,NA,NA,NA,183.0625,3.78532634246039,NA,NA,NA,43935,100,0,100,Latin America & Caribbean,High income
Central African Republic,88.409290628783907,0.0934056766230665,245.689,NA,45.438,NA,NA,50.6745000558837,5.48,931833302.752857,NA,2630343346.17011,NA,42.704,49.3254999441163,5.97453850845934,2.21650118570358,591050,42.0992275338421,44.061,3722018,6.08761739730835,62.28,37.72,Sub-Saharan Africa,Low income
Chad,107.763555067792,0.0229081905504249,172.349,NA,48.978,42.39191,57.60809,50.2123691627001,7.315,1709347793.32873,NA,7523466317.45664,NA,46.613,49.7876308373,6.89171775730623,3.7858528823996,715207,38.0321227906541,47.789,8678051,3.2380998134613,78.33,21.67,Sub-Saharan Africa,Low income
Channel Islands,46.0689898406043,NA,NA,NA,81.63,NA,NA,51.2371140935096,1.508,6232906290.4851,NA,NA,NA,76.845,48.7628859064904,753.015180530557,0.439605466981466,NA,NA,79.3,149097,NA,69.505,30.495,Europe & Central Asia,High income
Chile,52.9523753382159,0.344715599724384,53340.182,36.7779998779297,79.628,NA,NA,50.7992337255622,2.009,70979923960.3742,6.2653082550223,154736780240.43,NA,73.503,49.2007662744378,20.8681164332824,1.12618583494464,5776553,43.1080221976106,76.634,15516113,97.1640090942383,13.637,86.363,Latin America & Caribbean,High income
China,45.2523408153918,0.849632613810016,3487566.356,NA,73.674,NA,NA,48.6823126373997,1.597,1339395718865.3,3.47478435427267,4104793412249.88,NA,69.981,51.3176873626003,135.473046225577,0.726380637838525,14829537,3.14340064262315,71.732,1271850000,96.9743041992188,62.907,37.093,East Asia & Pacific,Upper middle income
Colombia,59.8436972271368,0.204124166426572,56273.782,53.5509986877441,76.544,91.65179,8.34821,50.9871110749425,2.516,98211749595.5442,10.7239189870766,275684074968.374,57.2,69.931,49.0128889250575,36.2829806219018,1.56726415911337,6512224,21.7494724631826,73.241,40255967,94.1980285644531,25.621,74.379,Latin America & Caribbean,Upper middle income
Comoros,87.6282187591766,0.095244936487916,102.676,NA,61.142,NA,NA,49.6800654799917,5.307,378180913.355762,NA,1078020562.41622,NA,57.956,50.3199345200083,298.703912825663,2.46423789126915,NA,NA,59.529,555888,42.0622444152832,71.964,28.036,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",94.5313048554191,0.0389204234268873,836.076,NA,52.106,NA,NA,50.3912528097588,6.74,7438189100.33333,1.49450859034926,21481677905.4468,NA,49.223,49.6087471902412,21.3619218808584,2.76927249618913,6405687,37.1683192077922,50.667,48428545,7.13199186325073,64.413,35.587,Sub-Saharan Africa,Low income
"Congo, Rep.",81.1654393550421,0.0628246330932908,766.403,NA,53.673,NA,NA,50.6112625196943,4.862,2794259783.08097,15.3303747377416,12199084376.059,NA,51.274,49.3887374803057,9.42293704245974,2.853372224831,1066846,56.0436015969742,52.517,3217933,NA,40.844,59.156,Sub-Saharan Africa,Lower middle income
Costa Rica,56.7668689365191,0.176529500778027,5760.857,42.181999206543,79.97,NA,NA,49.8249660268999,2.275,15913363440.5692,11.2890869213593,32633961885.1801,51.6,75.286,50.1750339731001,79.0065413239326,1.79339475965946,1047860,42.9982305997906,77.601,4034074,98.24978,39.59,60.41,Latin America & Caribbean,Upper middle income
Cote d'Ivoire,87.5045796863194,0.192935986730308,7726.369,NA,51.305,51.94523,48.05477,48.557484658394,5.793,11192560827.2962,6.13259712104067,40046282349.597,NA,47.987,51.442515341606,52.9969371069182,2.39210192911904,3090788,42.0943419199333,49.495,16853026,48.6439170837402,56.432,43.568,NA,NA
Croatia,49.4710718174271,0.408457687720492,20395.854,42.459098815918,78.17,95.78045,2.82219,51.8763868021242,1.46,23179799796.1997,5.73633724022446,49933823289.8114,NA,71.03,48.1236131978758,76.9029153997496,-3.8476707266781,691634,29.9874176969096,74.5129268292683,4299642,100,46.358,53.642,Europe & Central Asia,High income
Cuba,45.5819736366849,NA,25452.647,NA,78.879,NA,NA,50.1569503673909,1.598,31682400000,NA,NA,NA,74.996,49.8430496326091,103.954068901304,0.343070038259463,2193084,25.9983801720925,76.905,11164667,96.2282867431641,24.445,75.555,Latin America & Caribbean,Upper middle income
Curacao,52.8818017036098,NA,NA,NA,NA,NA,NA,53.0562478432575,NA,NA,1.44153871273243,3161354941.64816,NA,NA,46.9437521567425,290.646396396396,-3.6617798581649,NA,NA,NA,129047,100,8.989,91.011,NA,NA
Cyprus,47.6343778538286,0.426682833764915,6846.289,51.7672996520996,80.24,97.81676,1.84182,49.5381526522638,1.66,10397897085.6102,7.58921399843102,16045381857.9728,NA,76.059,50.4618473477362,103.925974025974,1.78469786233711,NA,NA,78.139,960276,100,31.231,68.769,Europe & Central Asia,High income
Czech Republic,42.4796972178916,0.689839968168071,123720.913,51.1419982910156,78.4,NA,NA,51.3500169749467,1.15,67523642262.4009,4.26996755847614,179347267060.434,NA,72.1,48.6499830250533,132.219554807817,-0.375719704335905,1171354,15.5193070862052,75.1731707317073,10216605,100,26.123,73.877,Europe & Central Asia,High income
Denmark,50.2405937421235,0.335321560989139,52918.477,59.6596984863281,79.2,NA,NA,50.5080477837217,1.74,164791442543.375,8.21707121400249,157814119807.566,NA,74.5,49.4919522162783,126.297030403017,0.358315678955486,1082059,23.7137420874494,76.7926829268293,5358783,100,14.85,85.15,Europe & Central Asia,High income
Djibouti,77.4356355115754,NA,366.7,NA,58.653,25.78145,74.21855,49.8279035059119,4.359,NA,NA,NA,NA,55.598,50.1720964940881,31.6227351164797,2.1276151572494,411049,73.2279522845823,57.1,733015,56.4084053039551,23.422,76.578,Middle East & North Africa,Lower middle income
Dominica,NA,0.23614567537444,110.01,45.060001373291,NA,95.38017,4.61983,NA,NA,340205074.074074,NA,465856509.231281,NA,NA,NA,92.8813333333333,0.0157920049714146,NA,NA,NA,69661,82.3283767700195,34.618,65.382,Latin America & Caribbean,Upper middle income
Dominican Republic,65.1338598887777,0.338714840635531,19816.468,38.5684013366699,72.779,NA,NA,49.8663096162526,2.799,25599311449.3848,8.35558029618607,58504870831.2229,50,66.873,50.1336903837474,177.988014903747,1.49130568852201,2061153,38.3134236664953,69.69,8598601,89.791362,37.435,62.565,Latin America & Caribbean,Upper middle income
Ecuador,65.6895924623725,0.29293420001038,23116.768,54.7248992919922,76.048,99.26447,0.73553,49.8149157623971,3.037,24468324000,8.43554058430877,78914541214.9926,NA,70.257,50.1850842376029,51.9997866000966,1.82491324870352,2135860,27.2015189019647,73.078,12914667,93.8655395507813,39.201,60.799,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",70.1915711861049,0.288457719212365,125451.737,20.1599998474121,71.239,87.52835,12.26346,49.6461531281593,3.253,97632008709.853,9.54134663137555,434905113104.779,NA,66.444,50.3538468718407,70.4733145813451,1.90113636122764,13921743,46.3201100763404,68.796,70152661,97.4398803710938,57.157,42.843,Middle East & North Africa,Lower middle income
El Salvador,72.3527507930632,0.219410854067911,5947.874,44.5,73.665,91.64439,6.45345,51.9155640432657,2.903,12282533600,6.53142497192001,27108385431.8303,51.4,64.619,48.0844359567343,286.052413127413,0.661368331942275,1064062,30.1909951524145,69.162,5927006,87.063829,40.536,59.464,Latin America & Caribbean,Lower middle income
Equatorial Guinea,78.3581246682253,0.351339945799794,3094.948,NA,54.879,67.5788,32.4212,47.8944435473402,5.785,1461139022.02954,NA,8808984110.68696,NA,52.373,52.1055564526598,22.5192869875223,4.11821520975398,132084,41.1363862866255,53.581,631666,NA,49.168,50.832,Sub-Saharan Africa,Upper middle income
Eritrea,91.681115060877,0.125182086912993,630.724,NA,57.842,52.46551,47.51806,50.2013499691122,5.227,752368495.512622,6.79286652621477,5038452509.8897,NA,53.966,49.7986500308878,23.512099009901,3.52740947480287,473892,72.6850516887021,55.864,2374722,30.3375663757324,72.545,27.455,Sub-Saharan Africa,Low income
Estonia,48.0445974064479,1.08623998595038,15570.082,52.3087997436523,76.2,NA,NA,53.3513108420472,1.32,6259258257.98944,2.9157544220347,14333924548.3376,NA,64.6,46.6486891579527,32.7462845010616,-0.63696312445507,399611,41.5759515335132,70.2585365853659,1388115,100,30.758,69.242,Europe & Central Asia,High income
Eswatini,83.2579709096826,0.224617943214206,1144.104,NA,48.73,NA,NA,51.9736426705393,3.848,1542477354.99355,NA,5093555677.82458,NA,43.078,48.0263573294607,58.9307558139535,0.809694554214466,NA,NA,45.799,1013609,26.9,77.445,22.555,Sub-Saharan Africa,Lower middle income
Ethiopia,98.6492465501961,0.120144762245558,4352.729,NA,53.976,38.96163,61.03837,50.1385824545284,6.407,8231326016.47494,1.10184049645864,36229036694.1148,NA,51.263,49.8614175454716,68.159423,2.87943415632872,2426040,23.8451205343106,52.595,68159423,25.5943851470947,85.073,14.927,Sub-Saharan Africa,Low income
Faroe Islands,NA,NA,762.736,NA,81.3,NA,NA,NA,2.3,1147654635.45922,NA,NA,NA,76.1,NA,33.665471307466,0.559042125107033,NA,NA,78.6365853658537,46997,100,62.825,37.175,Europe & Central Asia,High income
Fiji,60.0377912749738,0.235173098418672,1056.096,NA,67.616,98.08304,1.91696,49.1751676755664,3.044,1660102345.60309,NA,4490717718.57112,NA,64.212,50.8248323244336,44.5498084291188,0.359277180369209,NA,NA,65.863,813925,77.0581207275391,51.7,48.3,East Asia & Pacific,Upper middle income
Finland,49.4458730628314,0.395462136913558,57051.186,58.5255012512207,81.5,NA,NA,51.1585576317548,1.73,129421029082.774,4.33769230995052,144264597478.951,NA,74.6,48.8414423682452,17.0327587905053,0.227687341886374,1031639,24.141743840414,77.9658536585366,5188008,100,17.632,82.368,Europe & Central Asia,High income
France,53.8696747007171,0.223735109373615,377535.985,48.8646011352539,83,96.31465,3.49194,51.5162907339918,1.9,1376465324384.79,6.47703966132089,1687423963351.02,NA,75.5,48.4837092660082,112.054654271399,0.727786404872444,9806497,20.9946201389861,79.1585365853659,61357430,100,23.873,76.127,Europe & Central Asia,High income
French Polynesia,55.2249494584609,NA,678.395,NA,75.628,NA,NA,48.617762698578,2.415,NA,NA,NA,NA,70.108,51.3822373014221,66.9210382513661,1.74833588175288,NA,NA,72.658,244931,100,44.033,55.967,East Asia & Pacific,High income
Gabon,84.6371404501143,0.263986558488081,4800.103,NA,59.133,NA,NA,50.253654984706,4.455,5018874179.18704,11.51803016361,18183134124.2957,NA,56.751,49.746345015294,4.8822253269686,2.38455966418947,507737,50.6831798408043,57.968,1258003,76.3444595336914,20.367,79.633,Sub-Saharan Africa,Upper middle income
"Gambia, The",98.4472348757875,0.09093941332879,253.023,NA,57.536,62.39271,37.60729,50.231017521157,5.849,687408804.630527,NA,2782324964.92142,NA,55.281,49.768982478843,134.394664031621,3.16490407716825,340342,51.3045392055184,56.359,1360074,29.7923126220703,51.225,48.775,Sub-Saharan Africa,Low income
Georgia,50.9339249814546,0.294354011330634,3769.676,58.2400016784668,73.742,NA,NA,52.4510348079268,1.589,3219488663.77231,4.9823244082802,12806606517.6387,39.6,66.251,47.5489651920732,70.232915777319,-1.55123839698929,1088126,51.7305133326139,70.065,4014373,NA,47.602,52.398,Europe & Central Asia,Upper middle income
Germany,47.9159592304807,0.365262381666449,853662.932,49.2938003540039,81.3,NA,NA,51.2657970655154,1.35,1944107382550.34,6.741510405021,2337122503843.14,30.3,75.5,48.7342029344846,236.027300085985,0.168225361337335,3388441,5.4738408611008,78.3292682926829,82349925,100,24.83,75.17,Europe & Central Asia,High income
Ghana,82.1368266757626,0.191236355312438,6919.629,NA,57.925,61.85713,38.14287,49.5197811360257,4.753,5314909953.92992,5.72830440300093,36183648180.7806,NA,56.38,50.4802188639743,86.8283730333128,2.44952633242917,1703765,19.3350679039337,57.158,19756928,46.5910568237305,55.399,44.601,Sub-Saharan Africa,Lower middle income
Gibraltar,NA,NA,344.698,57.5400009155273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3160.2,1.67524139852326,NA,NA,NA,31602,100,0,100,Europe & Central Asia,High income
Greece,46.4805712645885,0.411953605421047,93805.527,39.5831985473633,81,97.83296,2.16704,50.3172362309507,1.25,136191353467.562,8.13136105263322,227708959857.564,NA,75.9,49.6827637690493,84.2678975950349,0.51988446396193,3187197,40.2428639935878,78.3878048780488,10862132,100,27.087,72.913,Europe & Central Asia,High income
Greenland,NA,NA,539.049,NA,70.22,NA,NA,NA,2.51,1086172922.57413,NA,NA,NA,65.12,NA,0.137288342063589,0.266548358613988,NA,NA,67.6078048780488,56350,100,18.151,81.849,Europe & Central Asia,High income
Grenada,69.0721818300911,0.248710207104126,194.351,NA,75.428,NA,NA,50.2024369926968,2.512,520444185.185185,NA,781435560.136187,NA,70.197,49.7975630073032,303.673529411765,0.403723338322253,NA,NA,72.805,103249,86.402961730957,64.081,35.919,Latin America & Caribbean,Upper middle income
Guam,56.0950536947583,NA,NA,58.4000015258789,77.916,NA,NA,48.9465775760095,2.794,NA,NA,NA,NA,73.112,51.0534224239905,289.631481481482,0.687777387996311,NA,NA,75.373,156401,100,6.767,93.233,East Asia & Pacific,High income
Guatemala,90.3222341585349,0.180552285157543,10626.966,NA,71.489,80.22159,18.08128,50.9556064050967,4.49,18702802522.0777,8.18805198187627,58858108556.9053,NA,65.1,49.0443935949033,111.281690929451,2.32625536601766,2044389,37.5400761382358,68.304,11924946,73.7744827270508,54.332,45.668,Latin America & Caribbean,Upper middle income
Guinea,100.184342866792,0.163014692194066,1719.823,NA,51.229,41.81146,58.18854,52.2845565719806,6.015,2833442750.43639,NA,10550110403.2548,NA,51.217,47.7154434280194,34.2547655868468,2.11741613340569,1220700,46.5664358499376,51.255,8417081,17.4788627624512,68.856,31.144,Sub-Saharan Africa,Low income
Guinea-Bissau,92.5775383277804,0.106742244577517,150.347,NA,53.366,NA,NA,51.6742251070609,5.73,392278168.199897,NA,1408505138.66435,NA,48.055,48.3257748929391,43.6381934566145,2.12534153890842,287376,63.9478761256901,50.744,1227106,NA,63.378,36.622,Sub-Saharan Africa,Low income
Guyana,66.568169016603,0.556311725758517,1595.145,NA,68.776,NA,NA,50.0623988534714,2.992,712167575.624277,NA,2867358220.47443,NA,62.545,49.9376011465286,3.7856540513081,-0.202289600398759,NA,NA,65.532,745206,75.1465606689453,71.394,28.606,Latin America & Caribbean,Upper middle income
Haiti,78.4534072175131,0.134453933194345,1569.476,NA,59.308,NA,NA,50.7538440272233,4.237,3596443004.56165,5.68316471458435,11672964581.344101,NA,55.469,49.2461559727767,312.366436865022,1.69881886972174,1780069,55.5079702301714,57.382,8608819,31.542382,62.749,37.251,Latin America & Caribbean,Low income
Honduras,85.8524067126845,0.314940172896191,5713.186,42.5499992370605,73.31,NA,NA,50.2566976583818,4.098,7565869927.73763,5.62387794673553,18140543797.4506,55.6,68.667,49.7433023416182,60.3441951917061,2.66258255640749,772362,24.8872141929834,70.976,6751912,64.2,54.036,45.964,Latin America & Caribbean,Lower middle income
"Hong Kong SAR, China",38.1109268754447,0.204725715258113,37957.117,50.6699981689453,84.6,NA,NA,51.0294346020683,0.931,169403241524.337,13.0889079895649,185404735072.703,NA,78.4,48.9705653979317,6394.57142857143,0.736962668138432,6722306,100,81.4243902439025,6714300,100,0,100,East Asia & Pacific,High income
Hungary,46.5236089279558,0.423271566238465,56977.846,41.1291999816895,76.5,97.63067,2.36933,52.4560131794424,1.31,53749989092.0197,5.25871672959492,134612977919.475,NA,68.2,47.5439868205576,113.675251060031,-0.229379183308447,1773401,26.9174089541999,72.2487804878049,10187576,100,35.33,64.67,Europe & Central Asia,High income
Iceland,52.7945781323725,0.232050074865147,2101.191,78.4697036743164,83.2,NA,NA,49.959351030363,1.95,8205357164.41227,3.00063835869513,9054903348.86158,NA,78.3,50.040648969637,2.84257356608479,1.32929525456819,NA,NA,80.690243902439,284968,100,7.468,92.532,Europe & Central Asia,High income
India,63.4281014254602,0.426523275290856,1041152.975,37.7099990844727,63.745,77.7552,22.2448,47.9960189659295,3.244,485441014538.638,5.45826856269689,2441022648271.69,NA,62.121,52.0039810340705,361.564543470145,1.7287676376721,16496409,5.4966313908701,62.907,1075000085,55.8,72.082,27.918,South Asia,Lower middle income
