indicator,flag
"Adolescents out of school, male (% of male lower secondary school age)",0
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,0
Adults (ages 15+) newly infected with HIV,0
Age dependency ratio (% of working-age population),0
"Age dependency ratio, old (% of working-age population)",0
"Age dependency ratio, young (% of working-age population)",0
Agricultural irrigated land (% of total agricultural land),0
Agricultural land (% of land area),0
Agricultural land (sq. km),0
"Agricultural machinery, tractors",0
"Agricultural machinery, tractors per 100 sq. km of arable land",0
Agricultural methane emissions (% of total),0
Agricultural methane emissions (thousand metric tons of CO2 equivalent),0
Agricultural nitrous oxide emissions (% of total),0
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),0
Agricultural raw materials exports (% of merchandise exports),0
Agricultural raw materials imports (% of merchandise imports),0
"Agriculture, forestry, and fishing, value added (% of GDP)",0
"Agriculture, forestry, and fishing, value added (annual % growth)",0
"Agriculture, forestry, and fishing, value added (constant 2010 US$)",0
"Agriculture, forestry, and fishing, value added (constant LCU)",0
"Agriculture, forestry, and fishing, value added (current LCU)",0
"Agriculture, forestry, and fishing, value added (current US$)",0
"Agriculture, forestry, and fishing, value added per worker (constant 2010 US$)",0
"Air transport, freight (million ton-km)",0
"Air transport, passengers carried",0
"Air transport, registered carrier departures worldwide",0
Alternative and nuclear energy (% of total energy use),0
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",0
"Annual freshwater withdrawals, total (% of internal resources)",0
"Annual freshwater withdrawals, total (billion cubic meters)",0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",0
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",0
Antiretroviral therapy coverage (% of people living with HIV),0
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),0
Aquaculture production (metric tons),0
Arable land (% of land area),0
Arable land (hectares per person),0
Arable land (hectares),0
ARI treatment (% of children under 5 taken to a health provider),0
Armed forces personnel (% of total labor force),0
"Armed forces personnel, total",0
Arms exports (SIPRI trend indicator values),0
Arms imports (SIPRI trend indicator values),0
"Automated teller machines (ATMs) (per 100,000 adults)",0
Average number of visits or required meetings with tax officials (for affected firms),0
Average precipitation in depth (mm per year),0
Average time to clear exports through customs (days),0
Average transaction cost of sending remittances from a specific country (%),0
Average transaction cost of sending remittances to a specific country (%),0
"Average working hours of children, study and work, ages 7-14 (hours per week)",0
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",0
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",0
"Average working hours of children, working only, ages 7-14 (hours per week)",0
"Average working hours of children, working only, female, ages 7-14 (hours per week)",0
"Average working hours of children, working only, male, ages 7-14 (hours per week)",0
Bank capital to assets ratio (%),0
Bank liquid reserves to bank assets ratio (%),0
Bank nonperforming loans to total gross loans (%),0
Battle-related deaths (number of people),0
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),0
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),0
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),0
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),0
"Binding coverage, all products (%)",0
"Binding coverage, manufactured products (%)",0
"Binding coverage, primary products (%)",0
"Bird species, threatened",0
"Birth rate, crude (per 1,000 people)",0
Births attended by skilled health staff (% of total),0
"Borrowers from commercial banks (per 1,000 adults)",0
"Bound rate, simple mean, all products (%)",0
"Bound rate, simple mean, manufactured products (%)",0
"Bound rate, simple mean, primary products (%)",0
Bribery incidence (% of firms experiencing at least one bribe payment request),0
Broad money (% of GDP),0
Broad money (current LCU),0
Broad money growth (annual %),0
Broad money to total reserves ratio,0
"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",0
Business extent of disclosure index (0=less disclosure to 10=more disclosure),0
Capture fisheries production (metric tons),0
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",0
"Cause of death, by injury (% of total)",0
"Cause of death, by non-communicable diseases (% of total)",0
"Central government debt, total (% of GDP)",0
"Central government debt, total (current LCU)",0
Cereal production (metric tons),0
Cereal yield (kg per hectare),0
Changes in inventories (constant LCU),0
Changes in inventories (current LCU),0
Changes in inventories (current US$),0
"Charges for the use of intellectual property, payments (BoP, current US$)",0
"Charges for the use of intellectual property, receipts (BoP, current US$)",0
Chemicals (% of value added in manufacturing),0
Child employment in agriculture (% of economically active children ages 7-14),0
"Child employment in agriculture, female (% of female economically active children ages 7-14)",0
"Child employment in agriculture, male (% of male economically active children ages 7-14)",0
Child employment in manufacturing (% of economically active children ages 7-14),0
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",0
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",0
Child employment in services (% of economically active children ages 7-14),0
"Child employment in services, female (% of female economically active children ages 7-14)",0
"Child employment in services, male (% of male economically active children ages 7-14)",0
Children (0-14) living with HIV,0
Children (ages 0-14) newly infected with HIV,0
"Children in employment, female (% of female children ages 7-14)",0
"Children in employment, male (% of male children ages 7-14)",0
"Children in employment, self-employed (% of children in employment, ages 7-14)",0
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",0
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",0
"Children in employment, study and work (% of children in employment, ages 7-14)",0
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",0
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",0
"Children in employment, total (% of children ages 7-14)",0
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",0
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",0
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",0
"Children in employment, wage workers (% of children in employment, ages 7-14)",0
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",0
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",0
"Children in employment, work only (% of children in employment, ages 7-14)",0
"Children in employment, work only, female (% of female children in employment, ages 7-14)",0
"Children in employment, work only, male (% of male children in employment, ages 7-14)",0
Children out of school (% of primary school age),0
"Children out of school, female (% of female primary school age)",0
"Children out of school, male (% of male primary school age)",0
"Children out of school, primary",0
"Children out of school, primary, female",0
"Children out of school, primary, male",0
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),0
Claims on central government (annual growth as % of broad money),0
"Claims on central government, etc. (% GDP)",0
Claims on other sectors of the domestic economy (% of GDP),0
Claims on other sectors of the domestic economy (annual growth as % of broad money),0
Claims on private sector (annual growth as % of broad money),0
CO2 emissions (kg per 2010 US$ of GDP),0
CO2 emissions (kg per 2011 PPP $ of GDP),0
CO2 emissions (kg per PPP $ of GDP),0
CO2 emissions (kt),0
CO2 emissions (metric tons per capita),0
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",0
CO2 emissions from gaseous fuel consumption (% of total),0
CO2 emissions from gaseous fuel consumption (kt),0
CO2 emissions from liquid fuel consumption (% of total),0
CO2 emissions from liquid fuel consumption (kt),0
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),0
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",0
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),0
CO2 emissions from solid fuel consumption (% of total),0
CO2 emissions from solid fuel consumption (kt),0
CO2 emissions from transport (% of total fuel combustion),0
CO2 intensity (kg per kg of oil equivalent energy use),0
Coal rents (% of GDP),0
Combustible renewables and waste (% of total energy),0
"Commercial bank branches (per 100,000 adults)",0
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",0
Commercial service exports (current US$),0
Commercial service imports (current US$),0
"Communications, computer, etc. (% of service exports, BoP)",0
"Communications, computer, etc. (% of service imports, BoP)",0
"Community health workers (per 1,000 people)",0
Compensation of employees (% of expense),0
Compensation of employees (current LCU),0
Completeness of birth registration (%),0
"Completeness of birth registration, female (%)",0
"Completeness of birth registration, male (%)",0
"Completeness of birth registration, rural (%)",0
"Completeness of birth registration, urban (%)",0
Completeness of death registration with cause-of-death information (%),0
"Compulsory education, duration (years)",0
"Computer, communications and other services (% of commercial service exports)",0
"Computer, communications and other services (% of commercial service imports)",0
"Condom use, population ages 15-24, female (% of females ages 15-24)",0
"Condom use, population ages 15-24, male (% of males ages 15-24)",0
Consumer price index (2010 = 100),0
Consumption of iodized salt (% of households),0
Container port traffic (TEU: 20 foot equivalent units),0
"Contraceptive prevalence, any methods (% of women ages 15-49)",0
"Contraceptive prevalence, modern methods (% of women ages 15-49)",0
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",0
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",0
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",0
Cost of business start-up procedures (% of GNI per capita),0
"Cost of business start-up procedures, female (% of GNI per capita)",0
"Cost of business start-up procedures, male (% of GNI per capita)",0
"Cost to export, border compliance (US$)",0
"Cost to export, documentary compliance (US$)",0
"Cost to import, border compliance (US$)",0
"Cost to import, documentary compliance (US$)",0
Coverage of social insurance programs (% of population),0
Coverage of social insurance programs in 2nd quintile (% of population),0
Coverage of social insurance programs in 3rd quintile (% of population),0
Coverage of social insurance programs in 4th quintile (% of population),0
Coverage of social insurance programs in poorest quintile (% of population),0
Coverage of social insurance programs in richest quintile (% of population),0
Coverage of social protection and labor programs (% of population),0
Coverage of social safety net programs (% of population),0
Coverage of social safety net programs in 2nd quintile (% of population),0
Coverage of social safety net programs in 3rd quintile (% of population),0
Coverage of social safety net programs in 4th quintile (% of population),0
Coverage of social safety net programs in poorest quintile (% of population),0
Coverage of social safety net programs in richest quintile (% of population),0
Coverage of unemployment benefits and ALMP (% of population),0
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),0
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),0
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),0
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),0
Coverage of unemployment benefits and ALMP in richest quintile (% of population),0
CPIA building human resources rating (1=low to 6=high),0
CPIA business regulatory environment rating (1=low to 6=high),0
CPIA debt policy rating (1=low to 6=high),0
CPIA economic management cluster average (1=low to 6=high),0
CPIA efficiency of revenue mobilization rating (1=low to 6=high),0
CPIA equity of public resource use rating (1=low to 6=high),0
CPIA financial sector rating (1=low to 6=high),0
CPIA fiscal policy rating (1=low to 6=high),0
CPIA gender equality rating (1=low to 6=high),0
CPIA macroeconomic management rating (1=low to 6=high),0
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),0
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),0
CPIA property rights and rule-based governance rating (1=low to 6=high),0
CPIA public sector management and institutions cluster average (1=low to 6=high),0
CPIA quality of budgetary and financial management rating (1=low to 6=high),0
CPIA quality of public administration rating (1=low to 6=high),0
CPIA social protection rating (1=low to 6=high),0
CPIA structural policies cluster average (1=low to 6=high),0
CPIA trade rating (1=low to 6=high),0
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",0
Crop production index (2004-2006 = 100),0
Current account balance (% of GDP),0
"Current account balance (BoP, current US$)",0
"Current education expenditure, primary (% of total expenditure in primary public institutions)",0
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",0
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",0
"Current education expenditure, total (% of total expenditure in public institutions)",0
Current health expenditure (% of GDP),0
Current health expenditure per capita (current US$),0
"Current health expenditure per capita, PPP (current international $)",0
Customs and other import duties (% of tax revenue),0
Customs and other import duties (current LCU),0
"Death rate, crude (per 1,000 people)",0
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",0
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",0
"Debt service on external debt, total (TDS, current US$)",0
DEC alternative conversion factor (LCU per US$),0
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),0
Deposit interest rate (%),0
"Depositors with commercial banks (per 1,000 adults)",0
Depth of credit information index (0=low to 8=high),0
Diabetes prevalence (% of population ages 20 to 79),0
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),0
Diarrhea treatment (% of children under 5 who received ORS packet),0
Disaster risk reduction progress score (1-5 scale; 5=best),0
Discrepancy in expenditure estimate of GDP (constant LCU),0
Discrepancy in expenditure estimate of GDP (current LCU),0
Domestic credit provided by financial sector (% of GDP),0
Domestic credit to private sector (% of GDP),0
Domestic credit to private sector by banks (% of GDP),0
Domestic general government health expenditure (% of current health expenditure),0
Domestic general government health expenditure (% of GDP),0
Domestic general government health expenditure (% of general government expenditure),0
Domestic general government health expenditure per capita (current US$),0
"Domestic general government health expenditure per capita, PPP (current international $)",0
Domestic private health expenditure (% of current health expenditure),0
Domestic private health expenditure per capita (current US$),0
"Domestic private health expenditure per capita, PPP (current international $)",0
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",0
Ease of doing business index (1=most business-friendly regulations),0
Ease of doing business score (0 = lowest performance to 100 = best performance),0
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",0
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",0
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",0
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",0
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",0
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",0
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",0
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",0
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",0
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",0
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",0
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",0
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",0
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",0
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",0
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",0
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",0
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",0
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",0
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",0
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0
Electric power consumption (kWh per capita),0
Electric power transmission and distribution losses (% of output),0
Electricity production from coal sources (% of total),0
Electricity production from hydroelectric sources (% of total),0
Electricity production from natural gas sources (% of total),0
Electricity production from nuclear sources (% of total),0
Electricity production from oil sources (% of total),0
"Electricity production from oil, gas and coal sources (% of total)",0
"Electricity production from renewable sources, excluding hydroelectric (% of total)",0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",0
"Employers, female (% of female employment) (modeled ILO estimate)",0
"Employers, male (% of male employment) (modeled ILO estimate)",0
"Employers, total (% of total employment) (modeled ILO estimate)",0
Employment in agriculture (% of total employment) (modeled ILO estimate),0
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",0
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",0
Employment in industry (% of total employment) (modeled ILO estimate),0
"Employment in industry, female (% of female employment) (modeled ILO estimate)",0
"Employment in industry, male (% of male employment) (modeled ILO estimate)",0
Employment in services (% of total employment) (modeled ILO estimate),0
"Employment in services, female (% of female employment) (modeled ILO estimate)",0
"Employment in services, male (% of male employment) (modeled ILO estimate)",0
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",0
"Employment to population ratio, 15+, female (%) (national estimate)",0
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",0
"Employment to population ratio, 15+, male (%) (national estimate)",0
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0
"Employment to population ratio, 15+, total (%) (national estimate)",0
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",0
"Employment to population ratio, ages 15-24, female (%) (national estimate)",0
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",0
"Employment to population ratio, ages 15-24, male (%) (national estimate)",0
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",0
"Employment to population ratio, ages 15-24, total (%) (national estimate)",0
"Energy imports, net (% of energy use)",0
Energy intensity level of primary energy (MJ/$2011 PPP GDP),0
Energy related methane emissions (% of total),0
Energy use (kg of oil equivalent per capita),0
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",0
Exclusive breastfeeding (% of children under 6 months),0
Expenditure on primary education (% of government expenditure on education),0
Expenditure on secondary education (% of government expenditure on education),0
Expenditure on tertiary education (% of government expenditure on education),0
Expense (% of GDP),0
Expense (current LCU),0
Export unit value index (2000 = 100),0
Export value index (2000 = 100),0
Export volume index (2000 = 100),0
Exports as a capacity to import (constant LCU),0
Exports of goods and services (% of GDP),0
Exports of goods and services (annual % growth),0
"Exports of goods and services (BoP, current US$)",0
Exports of goods and services (constant 2010 US$),0
Exports of goods and services (constant LCU),0
Exports of goods and services (current LCU),0
Exports of goods and services (current US$),0
"Exports of goods, services and primary income (BoP, current US$)",0
External balance on goods and services (% of GDP),0
External balance on goods and services (constant LCU),0
External balance on goods and services (current LCU),0
External balance on goods and services (current US$),0
External debt stocks (% of GNI),0
"External debt stocks, long-term (DOD, current US$)",0
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",0
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",0
"External debt stocks, short-term (DOD, current US$)",0
"External debt stocks, total (DOD, current US$)",0
External health expenditure (% of current health expenditure),0
External health expenditure per capita (current US$),0
"External health expenditure per capita, PPP (current international $)",0
Female genital mutilation prevalence (%),0
Female headed households (% of households with a female head),0
Female share of employment in senior and middle management (%),0
"Fertility rate, total (births per woman)",0
Fertilizer consumption (% of fertilizer production),0
Fertilizer consumption (kilograms per hectare of arable land),0
Final consumption expenditure (% of GDP),0
Final consumption expenditure (annual % growth),0
Final consumption expenditure (constant 2010 US$),0
Final consumption expenditure (constant LCU),0
Final consumption expenditure (current LCU),0
Final consumption expenditure (current US$),0
Financial intermediary services indirectly Measured (FISIM) (constant LCU),0
Financial intermediary services indirectly Measured (FISIM) (current LCU),0
Firms competing against unregistered firms (% of firms),0
Firms expected to give gifts in meetings with tax officials (% of firms),0
Firms experiencing electrical outages (% of firms),0
Firms experiencing losses due to theft and vandalism (% of firms),0
Firms formally registered when operations started (% of firms),0
Firms offering formal training (% of firms),0
Firms that do not report all sales for tax purposes (% of firms),0
Firms that spend on R&D (% of firms),0
Firms using banks to finance investment (% of firms),0
Firms using banks to finance working capital (% of firms),0
Firms visited or required meetings with tax officials (% of firms),0
Firms with female participation in ownership (% of firms),0
Firms with female top manager (% of firms),0
"Fish species, threatened",0
Fixed broadband subscriptions,0
Fixed broadband subscriptions (per 100 people),0
Fixed telephone subscriptions,0
Fixed telephone subscriptions (per 100 people),0
Food exports (% of merchandise exports),0
Food imports (% of merchandise imports),0
Food production index (2004-2006 = 100),0
"Food, beverages and tobacco (% of value added in manufacturing)",0
"Foreign direct investment, net (BoP, current US$)",0
"Foreign direct investment, net inflows (% of GDP)",0
"Foreign direct investment, net inflows (BoP, current US$)",0
"Foreign direct investment, net outflows (% of GDP)",0
"Foreign direct investment, net outflows (BoP, current US$)",0
Forest area (% of land area),0
Forest area (sq. km),0
Forest rents (% of GDP),0
Fossil fuel energy consumption (% of total),0
Fuel exports (% of merchandise exports),0
Fuel imports (% of merchandise imports),0
GDP (constant 2010 US$),0
GDP (constant LCU),0
GDP (current LCU),0
GDP (current US$),0
GDP deflator (base year varies by country),0
GDP deflator: linked series (base year varies by country),0
GDP growth (annual %),0
GDP per capita (constant 2010 US$),0
GDP per capita (constant LCU),0
GDP per capita (current LCU),0
GDP per capita (current US$),0
GDP per capita growth (annual %),0
"GDP per capita, PPP (constant 2011 international $)",0
"GDP per capita, PPP (current international $)",0
GDP per person employed (constant 2011 PPP $),0
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),0
GDP per unit of energy use (PPP $ per kg of oil equivalent),0
"GDP, PPP (constant 2011 international $)",0
"GDP, PPP (current international $)",0
GDP: linked series (current LCU),0
General government final consumption expenditure (% of GDP),0
General government final consumption expenditure (annual % growth),0
General government final consumption expenditure (constant 2010 US$),0
General government final consumption expenditure (constant LCU),0
General government final consumption expenditure (current LCU),0
General government final consumption expenditure (current US$),0
GHG net emissions/removals by LUCF (Mt of CO2 equivalent),0
GINI index (World Bank estimate),0
GNI (constant 2010 US$),0
GNI (constant LCU),0
GNI (current LCU),0
GNI (current US$),0
GNI growth (annual %),0
GNI per capita (constant 2010 US$),0
GNI per capita (constant LCU),0
GNI per capita (current LCU),0
GNI per capita growth (annual %),0
"GNI per capita, Atlas method (current US$)",0
"GNI per capita, PPP (constant 2011 international $)",0
"GNI per capita, PPP (current international $)",0
"GNI, Atlas method (current US$)",0
"GNI, PPP (constant 2011 international $)",0
"GNI, PPP (current international $)",0
Goods and services expense (% of expense),0
Goods and services expense (current LCU),0
"Goods exports (BoP, current US$)",0
"Goods imports (BoP, current US$)",0
"Government expenditure on education, total (% of GDP)",0
"Government expenditure on education, total (% of government expenditure)",0
"Government expenditure per student, primary (% of GDP per capita)",0
"Government expenditure per student, secondary (% of GDP per capita)",0
"Government expenditure per student, tertiary (% of GDP per capita)",0
Grants and other revenue (% of revenue),0
Grants and other revenue (current LCU),0
"Grants, excluding technical cooperation (BoP, current US$)",0
Gross capital formation (% of GDP),0
Gross capital formation (annual % growth),0
Gross capital formation (constant 2010 US$),0
Gross capital formation (constant LCU),0
Gross capital formation (current LCU),0
Gross capital formation (current US$),0
Gross domestic income (constant LCU),0
Gross domestic savings (% of GDP),0
Gross domestic savings (current LCU),0
Gross domestic savings (current US$),0
Gross fixed capital formation (% of GDP),0
Gross fixed capital formation (annual % growth),0
Gross fixed capital formation (constant 2010 US$),0
Gross fixed capital formation (constant LCU),0
Gross fixed capital formation (current LCU),0
Gross fixed capital formation (current US$),0
"Gross fixed capital formation, private sector (% of GDP)",0
"Gross fixed capital formation, private sector (current LCU)",0
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",0
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",0
"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0
Gross national expenditure (% of GDP),0
Gross national expenditure (constant 2010 US$),0
Gross national expenditure (constant LCU),0
Gross national expenditure (current LCU),0
Gross national expenditure (current US$),0
Gross national expenditure deflator (base year varies by country),0
Gross savings (% of GDP),0
Gross savings (% of GNI),0
Gross savings (current LCU),0
Gross savings (current US$),0
Gross value added at basic prices (GVA) (constant 2010 US$),0
Gross value added at basic prices (GVA) (constant LCU),0
Gross value added at basic prices (GVA) (current LCU),0
Gross value added at basic prices (GVA) (current US$),0
HFC gas emissions (thousand metric tons of CO2 equivalent),0
High-technology exports (% of manufactured exports),0
High-technology exports (current US$),0
"Hospital beds (per 1,000 people)",0
Households and NPISHs final consumption expenditure (% of GDP),0
Households and NPISHs Final consumption expenditure (annual % growth),0
Households and NPISHs Final consumption expenditure (constant 2010 US$),0
Households and NPISHs Final consumption expenditure (constant LCU),0
Households and NPISHs Final consumption expenditure (current LCU),0
Households and NPISHs Final consumption expenditure (current US$),0
Households and NPISHs Final consumption expenditure per capita (constant 2010 US$),0
Households and NPISHs Final consumption expenditure per capita growth (annual %),0
"Households and NPISHs Final consumption expenditure, PPP (constant 2011 international $)",0
"Households and NPISHs Final consumption expenditure, PPP (current international $)",0
Human capital index (HCI) (scale 0-1),0
"Human capital index (HCI), female (scale 0-1)",0
"Human capital index (HCI), female, lower bound (scale 0-1)",0
"Human capital index (HCI), female, upper bound (scale 0-1)",0
"Human capital index (HCI), lower bound (scale 0-1)",0
"Human capital index (HCI), male (scale 0-1)",0
"Human capital index (HCI), male, lower bound (scale 0-1)",0
"Human capital index (HCI), male, upper bound (scale 0-1)",0
"Human capital index (HCI), upper bound (scale 0-1)",0
"IBRD loans and IDA credits (DOD, current US$)",0
ICT goods exports (% of total goods exports),0
ICT goods imports (% total goods imports),0
"ICT service exports (% of service exports, BoP)",0
"ICT service exports (BoP, current US$)",0
IDA resource allocation index (1=low to 6=high),0
"IFC, private nonguaranteed (NFL, current US$)",0
"IMF repurchases and charges (TDS, current US$)",0
"Immunization, DPT (% of children ages 12-23 months)",0
"Immunization, HepB3 (% of one-year-old children)",0
"Immunization, measles (% of children ages 12-23 months)",0
Import unit value index (2000 = 100),0
Import value index (2000 = 100),0
Import volume index (2000 = 100),0
Imports of goods and services (% of GDP),0
